num,主键ID,企业名称,注册号,法人,社会统一信用代码,行业,gjj_202001,gjj_202002,gjj_202003,gjj_202004,gjj_202005,gjj_202006,gjj_202007,gjj_202008,gjj_202009,gjj_202010,gjj_202011,gjj_202012,shebao_202001,shebao_202002,shebao_202003,shebao_202004,shebao_202005,shebao_202006,shebao_202007,shebao_202008,shebao_202009,shebao_202010,shebao_202011,shebao_202012,yibao_201907,yibao_201908,yibao_201909,yibao_201910,yibao_201911,yibao_201912,yibao_202001,yibao_202002,yibao_202003,yibao_202004,yibao_202005,yibao_202006,yibao_202007,home_number,home_describe,gjj_sum,gjj_avg,gjj_nan,gjj_state,shebao_sum,shebao_avg,shebao_nan,shebao_state,yibao_sum,yibao_avg,yibao_nan,yibao_state,gjj_nan_score,gjj_state_score,shebao_nan_score,shebao_state_score,yibao_nan_score,yibao_state_score,gjj_sum_score,gjj_avg_score,shebao_sum_score,shebao_avg_score,yibao_sum_score,yibao_avg_score,home_number_score,desire_score,ability_score,score,target,defualt_rate,credit_score,credit_grade,credit_rate,max_value,3year_profit,loan_amount,credit_loan_amount,credit_loan_amount_zhanbi,mortgage_price,mortgage_loan_amount,mortgage_loan_amount_zhanbi,credit_loan_rate_1,credit_loan_rate_2,credit_loan_rate_3,credit_loan_rate_4,credit_loan_rate_5,credit_loan_rate_6,credit_loan_rate_7,credit_loan_rate_8,credit_loan_rate_9,credit_loan_rate_10,credit_loan_rate_11,credit_loan_rate_12,credit_loan_rate_13,credit_loan_rate_14,credit_loan_rate_15,credit_loan_rate_16,credit_loan_rate_17,credit_loan_rate_18,credit_loan_rate_19,credit_loan_rate_20,credit_loan_rate_21,credit_loan_rate_22,credit_loan_rate_23,credit_loan_rate_24,credit_loan_rate_25,credit_loan_rate_26,credit_loan_rate_27,credit_loan_rate_28,credit_loan_rate_29,credit_loan_rate_30,mortgage_loan_rate_1,mortgage_loan_rate_2,mortgage_loan_rate_3,mortgage_loan_rate_4,mortgage_loan_rate_5,mortgage_loan_rate_6,mortgage_loan_rate_7,mortgage_loan_rate_8,mortgage_loan_rate_9,mortgage_loan_rate_10,mortgage_loan_rate_11,mortgage_loan_rate_12,mortgage_loan_rate_13,mortgage_loan_rate_14,mortgage_loan_rate_15,mortgage_loan_rate_16,mortgage_loan_rate_17,mortgage_loan_rate_18,mortgage_loan_rate_19,mortgage_loan_rate_20,mortgage_loan_rate_21,mortgage_loan_rate_22,mortgage_loan_rate_23,mortgage_loan_rate_24,mortgage_loan_rate_25,mortgage_loan_rate_26,mortgage_loan_rate_27,mortgage_loan_rate_28,mortgage_loan_rate_29,mortgage_loan_rate_30
0,370828000012017122071007,金乡县***有限公司,370***1178,秦**,9137***L58L,租赁和商务服务业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,阜桥辖区长*** / ,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,1.36,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,3.08,2.04,1.4,0.94,0.8200000000000001,0.76,29.025,14.59,38.065,602.655,1.0,0.7,593.77,C,0.55,0.0,55800.0,100000.0,100000.0,0.1,700000.0,327850.0,0.06557,4.138428630553878,4.861073213641499,5.051378877194698,5.1791760382542416,5.170922471540628,5.386695624197668,5.497320282669667,5.5763457053672845,5.639142655141463,5.691844943081255,5.737580701459718,5.778180951282788,5.814818057372043,5.848291835425247,5.879174426172129,5.907890455048206,5.934764486852623,5.960050659976485,5.983952011686675,6.006633541355321,6.028231312041623,6.048858958022789,6.068612442874473,6.087573607090875,6.105812859161377,6.123391248395336,6.140362083539507,6.156772212379828,6.172663044667408,6.188071378179578,4.068251463689983,4.6717811577768655,4.826659678313675,4.930626921760115,4.963477870047133,5.271999179496836,5.386685033969716,5.4641599529624285,5.524270311630074,5.574046071827509,5.6168721080514485,5.654662060612892,5.68861274831427,5.719526897383632,5.747971360797941,5.774362588789506,5.799016297778124,5.822178031342335,5.844042849784962,5.8647685057272,5.884484545664442,5.90329876977831,5.921301925049236,5.938571184893252,5.955172775632347,5.971163990654625,5.986594757017753,6.001508869525613,6.015944974080368,6.029937359454167
1,37082800101201407112581X,山东一***有限公司,370***5072,李**,9137***2971,制造业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,金乡县高河*** / 金乡县高河*** / 金乡县高河*** / ,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,1.36,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,3.08,2.04,1.4,0.94,0.8200000000000001,0.76,48.375,14.59,57.415,622.005,1.0,0.8,593.77,C,0.55,0.0,55800.0,100000.0,100000.0,0.1,2100000.0,555699.9999999999,0.1111399999999999,4.148219717657971,4.895395416275716,5.092161254481735,5.224296657321184,5.188605866159046,5.411703720695829,5.526083677887238,5.6077917219168105,5.672720396284104,5.72721173231809,5.774500050833166,5.816478529238128,5.854359329811778,5.888969419041834,5.920900359723401,5.950591191757784,5.978377497720731,6.0045220430634325,6.029234757418345,6.052686241277092,6.075017176537374,6.096345054940565,6.116769097671406,6.136373923406713,6.155232330744127,6.173407441391659,6.190954373731199,6.2079215658580456,6.224351833231476,6.240283222777498,4.107481751010618,4.819494764775006,5.002212406102705,5.124867564687858,5.019824923591198,5.383802354203245,5.519102773850242,5.610503662826571,5.68141874464067,5.740141603478973,5.790665538619438,5.835248163595322,5.8753014231225205,5.911772331948539,5.945329633799569,5.976464635048592,6.005549801544026,6.032874812857699,6.058669791012504,6.083120844364572,6.10638080514654,6.128576850418549,6.1498160387589245,6.170189415359095,6.189775110597024,6.208640716238835,6.226845133636272,6.2444400296262845,6.26147099663877,6.277978486787743
2,370882001012008071112376,山东济***有限公司,370***0059,陈**,9137***87XR,交通运输、仓储和邮政业,88240.0,0.0,88240.0,89970.0,89970.0,93430.0,96890.0,96890.0,95160.0,98560.0,100290.0,100290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,济宁市农业*** / 济宁市农业*** / 济宁市兖州*** / 济宁市兖州*** / 兖州区新兖*** / 济宁市兖州*** / 济宁市兖州*** / ,1037930.0,86494.16666666669,1.0,12050.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,28.16333333333333,7.65,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,42.73712811427928,28.30643001759503,1.4,0.94,0.8200000000000001,0.76,69.66,46.49333333333334,144.62355813187432,741.1168914652078,0.0,0.2,689.48,CCC,0.65,1037930.0,3113790.0,1000000.0,1000000.0,1.0,4900000.0,5000000.0,1.0,4.202156119403047,5.084466975988532,5.236,5.236,5.286018815938332,5.549466435424467,5.6845332988040695,5.781019164780472,5.85769092271364,5.922037631876665,5.977878576506835,6.027449336514365,6.072181307407038,6.113051021895292,6.150757033582306,6.185817787690684,6.218629560692496,6.249502642136433,6.278684929798321,6.306377879194147,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,4.146126818415682,4.965004846116818,5.17514631665761,5.236,5.075331416941343,5.493937699053412,5.649545164992696,5.754664282548368,5.8362229074717735,5.903759396127014,5.961866396363971,6.01314036369917,6.0592051596096095,6.101149934930529,6.139743804176627,6.175551813191064,6.209002330688238,6.240428513832211,6.270095023330855,6.298215900277051,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324
3,370883001011993011238798,邹城市***有限公司,370***6783,聂**,9137***83XC,租赁和商务服务业,0.0,0.0,51900.0,0.0,305648.0,51900.0,0.0,0.0,430208.0,430208.0,538035.0,546528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2354427.0,196202.25,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,18.41666666666667,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,52.91756439457848,35.04931638506592,1.4,0.94,0.8200000000000001,0.76,0.0,31.64666666666667,91.8868807796444,673.5335474463111,0.0,0.5,644.94,CC,0.6,2354427.0,7063281.0,1000000.0,800000.0,0.8,0.0,800000.0,0.16,4.283002820396568,5.236,5.236,5.236,5.432033666185955,5.755962616952532,5.922037631876665,6.040674366535736,6.134948143422254,6.21406733237191,6.282728034788383,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,4.093495379832965,4.766831950491229,4.939624396179689,5.055616944431907,4.999736087657035,5.343942317301063,5.471893237877747,5.558329243889856,5.625392228798241,5.680925270505421,5.72870475285474,5.77086565614146,5.8087432284503455,5.843233042825885,5.874967516932553,5.904411269452776,5.931916533944392,5.957757254627111,5.982151053329092,6.0052739290277,6.027270412130969,6.048260771459676,6.068346250185779,6.087612947939182,6.106134751067108,6.123975579760798,6.141191135859156,6.157830279664081,6.173936127031325,6.189546932721967
4,370000001011993022421562,山东里***有限公司,370***5622,梁**,9137***555L,采矿业,351102.0,351102.0,351102.0,351102.0,351102.0,0.0,319960.0,319960.0,321710.0,321710.0,321710.0,321710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / 运河西岸高*** / ,3682270.0,306855.83333333326,1.0,-29392.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,28.16333333333333,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,54.0113134146675,36.55178116167107,1.4,0.94,0.8200000000000001,0.76,77.803125,41.39333333333335,172.28621957633857,763.6795529096719,0.0,0.1,674.1800000000001,CCC,0.65,3682270.0,11046810.0,1000000.0,1000000.0,1.0,7700000.0,5000000.0,1.0,4.146126818415682,4.888058854857849,5.083443794855917,5.214651874422934,5.184825942356456,5.406358101189471,5.519935342424941,5.601069961247149,5.665542967644352,5.719651884712911,5.766608334876803,5.8082922092685365,5.845907163239418,5.880274359645035,5.91198120970616,5.941463672151987,5.969054974447329,5.995016037961372,6.019555319045156,6.042842220919908,6.065016438180948,6.086194638015263,6.106475345275561,6.125942584786693,6.144668644247391,6.162716202378941,6.180139990743674,6.1969881074994335,6.213303067627567,6.229122651041614,4.099011980066234,4.787603578090152,4.964310787364047,5.082931247978235,5.007659663800759,5.359664185831481,5.49051394612654,5.5789082352537385,5.647490590584853,5.704281781793868,5.753143749994272,5.796259845322277,5.834995567072759,5.870266778278743,5.902720224578557,5.932831050996171,5.960959471247925,5.987385635998798,6.012332097489299,6.035978842107146,6.058473674722844,6.079939588952216,6.100480121719599,6.120183323317116,6.139124754051634,6.1573697822820925,6.174975371821138,6.191991489943434,6.208462229332056,6.224426711443061
5,370883000012015041427084,山东正***有限公司,370***1111,李**,9137***704N,教育,123830.0,123830.0,120370.0,120370.0,120370.0,120370.0,118640.0,118640.0,118640.0,118640.0,109300.0,109300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1422300.0,118525.0,0.0,-14530.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,30.6,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,45.70945109948821,30.27511147533081,1.4,0.94,0.8200000000000001,0.76,0.0,43.83,79.90456257481901,673.734562574819,0.0,0.1,681.49,CCC,0.65,1422300.0,4266900.0,1000000.0,1000000.0,1.0,0.0,1000000.0,0.2,4.146126818415682,4.888058854857849,5.083443794855917,5.214651874422934,5.184825942356456,5.406358101189471,5.519935342424941,5.601069961247149,5.665542967644352,5.719651884712911,5.766608334876803,5.8082922092685365,5.845907163239418,5.880274359645035,5.91198120970616,5.941463672151987,5.969054974447329,5.995016037961372,6.019555319045156,6.042842220919908,6.065016438180948,6.086194638015263,6.106475345275561,6.125942584786693,6.144668644247391,6.162716202378941,6.180139990743674,6.1969881074994335,6.213303067627567,6.229122651041614,4.016524347492276,4.4770133027589925,4.595184535780351,4.674510818787925,4.889181432647884,5.12458104406379,5.212085552669599,5.271198376538695,5.317062161758826,5.355040720287917,5.387716687804002,5.416550158543046,5.442454296919945,5.466041577458723,5.487744505034796,5.507880828276403,5.526691436614067,5.5443636780889225,5.561046382354163,5.576859913561601,5.591903114785417,5.606258236813765,5.619994518961002,5.633170844006338,5.6458377421724295,5.658038927915569,5.6698124952332005,5.68119185925582,5.692206506537754,5.702882599173458
6,370826001011990120377640,微山县***有限公司,370***0609,朱**,9137***3418,建筑业,0.0,0.0,142121.3,0.0,0.0,142121.3,0.0,0.0,157655.0,0.0,0.0,157655.0,3960.0,3960.0,3960.0,2722.5714285714284,2722.5714285714284,2722.5714285714284,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0,242.55,242.55,242.55,242.55,242.55,242.55,277.2,277.2,277.2,190.58,190.58,190.58,242.55,0.0,0,599552.6,49962.71666666667,8.0,0.0,40837.71428571428,3403.142857142857,0.0,-495.0,3101.19,238.5530769230769,0.0,0.0,11.106666666666667,2.5500000000000003,52.2,3.45,39.6,3.1500000000000004,39.34716734154434,26.06113132396539,17.876654632972325,12.00289668213856,14.98903527115572,13.892101594229253,0.0,112.05666666666669,124.1689868460056,786.2256535126722,0.0,0.2,886.1700000000001,A,0.85,599552.6,1798657.7999999998,1000000.0,1000000.0,1.0,0.0,1000000.0,0.2,4.13493187972953,4.848815515484116,5.036814017350108,5.16306183558808,5.16460709266065,5.377764329734079,5.487047835405253,5.565115197138426,5.62715083107004,5.6792141853213,5.724395468401992,5.764503503021721,5.800696440892746,5.833764401185152,5.864272588307661,5.892640479769463,5.919188705523746,5.94416832292689,5.967779907733096,5.990186458952433,6.011522390090051,6.031899957783392,6.051413962198248,6.0701452516394685,6.088163381002456,6.105528659468157,6.122293749497269,6.138504930918812,6.154203111454746,6.169424642766292,4.0102289708360805,4.453309352143027,4.567013175845569,4.643340565071011,4.880139288178549,5.106639725143982,5.190836165896142,5.247714256544113,5.291844182378588,5.328386978904102,5.359827646440233,5.38757108102936,5.412495925324087,5.435191499529688,5.456073957872937,5.475449036640773,5.493548518549172,5.510552669032418,5.526604691306854,5.541820399212689,5.55629489910697,5.5701073323244925,5.583324320619059,5.596002520733392,5.608190552618233,5.6199304781248856,5.631258951124672,5.6422081235043935,5.6528063670926985,5.66307885493805
7,370833001012011042743541,济宁祺***有限公司,370***8767,吕**,9137***395Y,批发和零售业,23068.0,23068.0,23068.0,26246.0,26246.0,26246.0,26246.0,29424.0,29424.0,29424.0,29424.0,29424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,321308.0,26775.66666666667,0.0,6356.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,30.6,7.65,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,31.077552,20.583837344853595,1.4,0.94,0.8200000000000001,0.76,0.0,48.93,55.58138934485359,654.5113893448536,0.0,0.6,696.79,CCC,0.65,321308.0,963924.0,963924.0,636189.8400000001,0.6361898400000001,0.0,636189.8400000001,0.127237968,4.263916020024586,5.236,5.236,5.236,5.397561557073614,5.707211692722255,5.865966107162243,5.979373324680646,6.0694915056334064,6.145123114147229,6.210757247084956,6.269021552492148,6.321598458982191,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,4.082762083218141,4.726417921784313,4.89159366208129,5.002473249149789,4.984319691796438,5.313353282181462,5.4356641155267935,5.518290015197807,5.5823968581482175,5.635481998753638,5.681155357543201,5.721457804703008,5.757665730471087,5.7906352309575615,5.820970846803609,5.849116716261453,5.875409546404373,5.9001112059680745,5.923429723992409,5.945533341405167,5.966560217701965,5.986625320243946,6.005825429395619,6.024242849508038,6.041948210012083,6.059002613491648,6.07545930644394,6.09136499540468,6.106760895679112,6.12168357575526
8,370833001022014042895891,山东昊***有限公司,370***4685,李**,9137***875T,科学研究和技术服务业,0.0,0.0,48000.0,0.0,48000.0,48000.0,48000.0,60000.0,138050.0,138050.0,73620.0,73620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,675340.0,56278.33333333334,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,23.29000000000001,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,39.93322928969124,26.44930222468605,1.4,0.94,0.8200000000000001,0.76,0.0,36.52,70.30253151437729,656.8225315143773,0.0,0.6,659.56,CCC,0.65,675340.0,2026020.0,1000000.0,660000.0,0.66,0.0,660000.0,0.132,4.267735647193827,5.236,5.236,5.236,5.404460073429442,5.716967668112917,5.87718707217712,5.99164081427603,6.082590608009542,6.158920146858884,6.2251599531826844,6.283961923027016,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,4.084910017422224,4.734505527829276,4.901205513902727,5.013108300516041,4.987404802099543,5.319474722514395,5.442914243225126,5.526302616721743,5.591001039188822,5.64457605077176,5.690670884434734,5.731345243563905,5.7678872969576735,5.801161040802032,5.831776594454001,5.86018219468447,5.886717655707839,5.9116472627909165,5.935180964670631,5.957488554806172,5.978709467632368,5.998959731431984,6.018337019661105,6.036924396177347,6.054793142181713,6.072004924114236,6.088613479832101,6.104665946880088,6.120203920899285,6.135264307832618
9,370800000012015030928219,济宁祥***有限公司,370***1179,马**,9137***5946,租赁和商务服务业,649029.0,649029.0,656529.0,0.0,652489.0,644989.0,653851.0,653851.0,623448.0,14305.0,14305.0,22638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 圣祥小镇项*** / 圣祥小镇（*** / 汇祥路以北*** / 圣祥小镇项*** / 圣祥小镇项*** / 圣祥小镇项*** / 济宁经济开*** / 济宁经济开*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 圣祥小镇项*** / 济宁经济开*** / 圣祥小镇项*** / 圣祥小镇项*** / 圣祥小镇项*** / ,5234463.0,436205.25,1.0,-626391.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,28.16333333333333,2.5500000000000003,2.3200000000000003,3.45,1.7599999999999998,3.1500000000000004,54.1552009819794,37.65281926510338,1.4,0.94,0.8200000000000001,0.76,96.75,41.39333333333335,192.47802024708284,783.8713535804161,0.0,0.3,674.1800000000001,CCC,0.65,5234463.0,15703389.0,1000000.0,1000000.0,1.0,43400000.0,5000000.0,1.0,4.23972481025518,5.216162282793639,5.236,5.236,5.353870524188159,5.645423241461554,5.7948992971143936,5.901678460497107,5.986529708753385,6.057741048376318,6.119539212177515,6.174398276023651,6.223902339443133,6.2691321135306,6.310860674928627,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,4.177718195879015,5.083955703575722,5.236,5.236,5.120706589009504,5.583970592895902,5.75617856202129,5.872511988835005,5.96277144443336,6.037512855348159,6.101818821918422,6.158562794519592,6.20954187128836,6.255961395761915,6.298672533067849,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324,6.324
